Timestamp,SpindleSpeed
1997-11-21,5.488085
1997-11-24,5.38125
1997-11-25,5.632812
1997-11-26,5.576367
1997-11-27,5.594531
1997-11-28,5.412695
1997-12-01,5.542187
1997-12-02,5.505078
1997-12-03,5.508007
1997-12-04,5.407812
1997-12-05,5.370312
1997-12-08,5.166992
1997-12-09,5.091015
1997-12-10,5.101562
1997-12-11,4.768359
1997-12-12,4.324804
1997-12-15,4.47871
1997-12-16,4.395312
1997-12-17,4.613671
1997-12-18,4.568359
1997-12-19,4.59375
1997-12-22,4.66289
1997-12-23,4.498046
1997-12-24,4.605273
1997-12-25,4.605273
1997-12-26,4.64082
1997-12-29,4.810351
1997-12-30,4.691015
1997-12-31,4.847851
1998-01-01,4.831835
1998-01-02,4.855468
1998-01-05,5.025585
1998-01-06,4.971289
1998-01-07,5.041992
1998-01-08,4.833203
1998-01-09,4.654882
1998-01-12,4.515039
1998-01-13,4.546484
1998-01-14,4.668554
1998-01-15,4.584375
1998-01-16,4.582031
1998-01-19,4.517382
1998-01-20,4.532421
1998-01-21,4.606835
1998-01-22,4.55371
1998-01-23,4.535351
1998-01-26,4.535351
1998-01-27,4.48164
1998-01-28,4.385742
1998-01-29,4.226953
1998-01-30,4.311523
1998-02-02,4.360546
1998-02-03,4.339843
1998-02-04,4.338476
1998-02-05,4.37246
1998-02-06,4.363671
1998-02-09,4.382812
1998-02-10,4.416796
1998-02-11,4.414062
1998-02-12,4.363281
1998-02-13,4.417187
1998-02-16,4.417187
1998-02-17,4.644726
1998-02-18,4.638476
1998-02-19,4.642968
1998-02-20,4.703906
1998-02-23,5.171484
1998-02-24,5.178125
1998-02-25,5.358007
1998-02-26,5.293945
1998-02-27,5.4625
1998-03-02,5.662695
1998-03-03,5.387695
1998-03-04,5.549023
1998-03-05,5.451757
1998-03-06,5.432421
1998-03-09,5.684179
1998-03-10,5.630664
1998-03-11,5.482421
1998-03-12,5.501953
1998-03-13,5.501953
1998-03-16,5.855664
1998-03-17,6.042187
1998-03-18,6.326757
1998-03-19,6.277343
1998-03-20,6.325
1998-03-23,6.382812
1998-03-24,6.242187
1998-03-25,6.396289
1998-03-26,6.285937
1998-03-27,6.634179
1998-03-30,6.783984
1998-03-31,7.227148
1998-04-01,7.561328
1998-04-02,7.563476
1998-04-03,7.565039
1998-04-06,7.83789
1998-04-07,7.999023
1998-04-08,7.999023
1998-04-09,8.690429
1998-04-10,8.120117
1998-04-13,7.3625
1998-04-14,7.3625
1998-04-15,7.855468
1998-04-16,8.176757
1998-04-17,8.668359
1998-04-20,8.724804
1998-04-21,8.696484
1998-04-22,8.914062
1998-04-23,8.588671
1998-04-24,8.457226
1998-04-27,8.321289
1998-04-28,8.421679
1998-04-29,8.339453
1998-04-30,8.478515
1998-05-01,8.478515
1998-05-04,8.79746
1998-05-05,8.906835
1998-05-06,8.867382
1998-05-07,8.867382
1998-05-08,8.988281
1998-05-11,9.181054
1998-05-12,8.913085
1998-05-13,8.568945
1998-05-14,8.890625
1998-05-15,8.951171
1998-05-18,9.069531
1998-05-19,9.240234
1998-05-20,9.766406
1998-05-21,9.393164
1998-05-22,9.564648
1998-05-25,9.596875
1998-05-26,9.513867
1998-05-27,9.695507
1998-05-28,9.622656
1998-05-29,9.535156
1998-06-01,9.782421
1998-06-02,9.496875
1998-06-03,9.169726
1998-06-04,8.981054
1998-06-05,8.214843
1998-06-08,7.529492
1998-06-09,8.281054
1998-06-10,8.016796
1998-06-11,8.620312
1998-06-12,8.933789
1998-06-15,8.0875
1998-06-16,7.871875
1998-06-17,8.628125
1998-06-18,8.402148
1998-06-19,7.996875
1998-06-22,7.635351
1998-06-23,8.340234
1998-06-24,8.924023
1998-06-25,8.868554
1998-06-26,8.720117
1998-06-29,8.910937
1998-06-30,8.626171
1998-07-01,8.561328
1998-07-02,8.529101
1998-07-03,8.52832
1998-07-06,8.965039
1998-07-07,9.426953
1998-07-08,9.897851
1998-07-09,9.758398
1998-07-10,9.756054
1998-07-13,9.713867
1998-07-14,9.791992
1998-07-15,9.935156
1998-07-16,10.296093
1998-07-17,10.208593
1998-07-20,9.952734
1998-07-21,9.740625
1998-07-22,9.871679
1998-07-23,9.582421
1998-07-24,9.604687
1998-07-27,9.70332
1998-07-28,10.258593
1998-07-29,10.259179
1998-07-30,10.210546
1998-07-31,10.180468
1998-08-03,10.202148
1998-08-04,10.160351
1998-08-05,10.157031
1998-08-06,10.186523
1998-08-07,10.69746
1998-08-10,10.742578
1998-08-11,10.685742
1998-08-12,10.199609
1998-08-13,10.202539
1998-08-14,10.183007
1998-08-17,9.868164
1998-08-18,9.715234
1998-08-19,9.896679
1998-08-20,10.183398
1998-08-21,10.055859
1998-08-24,10.156835
1998-08-25,10.419335
1998-08-26,10.419335
1998-08-27,10.360156
1998-08-28,10.042382
1998-08-31,10.024414
1998-09-01,9.527148
1998-09-02,9.671484
1998-09-03,9.61875
1998-09-04,9.536718
1998-09-07,9.671289
1998-09-08,9.630859
1998-09-09,9.588867
1998-09-10,9.433984
1998-09-11,9.055859
1998-09-14,9.164453
1998-09-15,9.104101
1998-09-16,9.08789
1998-09-17,9.064648
1998-09-18,9.095703
1998-09-21,9.094921
1998-09-22,9.050195
1998-09-23,9.530273
1998-09-24,9.598437
1998-09-25,9.808398
1998-09-28,9.887695
1998-09-29,9.880468
1998-09-30,9.868945
1998-10-01,9.868945
1998-10-02,9.868945
1998-10-05,9.079492
1998-10-06,8.867382
1998-10-07,9.519335
1998-10-08,9.003906
1998-10-09,9.099414
1998-10-12,9.017187
1998-10-13,8.549609
1998-10-14,9.176171
1998-10-15,9.123046
1998-10-16,9.032617
1998-10-19,8.945117
1998-10-20,8.846875
1998-10-21,8.846875
1998-10-22,9.118164
1998-10-23,9.252539
1998-10-26,9.398242
1998-10-27,9.526757
1998-10-28,9.342773
1998-10-29,9.518945
1998-10-30,9.52871
1998-11-02,9.550585
1998-11-03,9.572265
1998-11-04,9.572265
1998-11-05,9.55996
1998-11-06,9.457421
1998-11-09,9.398828
1998-11-10,9.492578
1998-11-11,9.454687
1998-11-12,9.376171
1998-11-13,9.354296
1998-11-16,9.300585
1998-11-17,9.318164
1998-11-18,9.477539
1998-11-19,9.332031
1998-11-20,9.341796
1998-11-23,9.191406
1998-11-24,9.235156
1998-11-25,9.235156
1998-11-26,9.179687
1998-11-27,9.15625
1998-11-30,9.103515
1998-12-01,9.251953
1998-12-02,9.253906
1998-12-03,9.295507
1998-12-04,9.476562
1998-12-07,9.785546
1998-12-08,10.214843
1998-12-09,10.132812
1998-12-10,10.103515
1998-12-11,10.195312
1998-12-14,10.273437
1998-12-15,10.128906
1998-12-16,9.970703
1998-12-17,9.992187
1998-12-18,10.445312
1998-12-21,11.281054
1998-12-22,11.5625
1998-12-23,11.515625
1998-12-24,11.417968
1998-12-25,11.417968
1998-12-28,11.515625
1998-12-29,11.425781
1998-12-30,11.609375
1998-12-31,11.59375
1999-01-01,11.589843
1999-01-04,11.648437
1999-01-05,11.867187
1999-01-06,11.859375
1999-01-07,12.230468
1999-01-08,12.753906
1999-01-11,12.65625
1999-01-12,13.66875
1999-01-13,14.762304
1999-01-14,15.820312
1999-01-15,15.659765
1999-01-18,15.628906
1999-01-19,16.879295
1999-01-20,16.879295
1999-01-21,18.229687
1999-01-22,19.085938
1999-01-25,18.046875
1999-01-26,18.046875
1999-01-27,18.257813
1999-01-28,17.586914
1999-01-29,18.417969
1999-02-01,17.714844
1999-02-02,17.26582
1999-02-03,18.160156
1999-02-04,17.910156
1999-02-05,19.342968
1999-02-08,18.242188
1999-02-09,19.535156
1999-02-10,19.15625
1999-02-11,19.25
1999-02-12,19.375
1999-02-15,19.257813
1999-02-16,19.327343
1999-02-17,20.117188
1999-02-18,20.492188
1999-02-19,20.421875
1999-02-22,20
1999-02-23,20.078125
1999-02-24,20.197266
1999-02-25,20.9375
1999-02-26,20.9375
1999-03-01,24.421484
1999-03-02,24.421484
1999-03-03,26.375389
1999-03-04,24.6875
1999-03-05,24.960938
1999-03-08,24.03125
1999-03-09,25.039063
1999-03-10,24.726563
1999-03-11,25.007813
1999-03-12,26.6875
1999-03-15,26.25078
1999-03-16,24.503906
1999-03-17,24.0625
1999-03-18,23.484375
1999-03-19,22.875
1999-03-22,22.53125
1999-03-23,21.796875
1999-03-24,20.898438
1999-03-25,21.289063
1999-03-26,21.210938
1999-03-29,21.210938
1999-03-30,22.90625
1999-03-31,22.890625
1999-04-01,22.21875
1999-04-02,22.21875
1999-04-05,21.46875
1999-04-06,21.445313
1999-04-07,22.147655
1999-04-08,22.078514
1999-04-09,20.40625
1999-04-12,21.222656
1999-04-13,20.9375
1999-04-14,20.9375
1999-04-15,20.78125
1999-04-16,22.44375
1999-04-19,21.179688
1999-04-20,21.484375
1999-04-21,21.297264
1999-04-22,21.13203
1999-04-23,21.171875
1999-04-26,20.117188
1999-04-27,20.117188
1999-04-28,20.304688
1999-04-29,20.546875
1999-04-30,20.703514
1999-05-03,20.429688
1999-05-04,21.523438
1999-05-05,22.96875
1999-05-06,24.80625
1999-05-07,25.390625
1999-05-10,25.15625
1999-05-11,25
1999-05-12,25.172264
1999-05-13,25.039063
1999-05-14,25.039063
1999-05-17,24.15625
1999-05-18,24.765625
1999-05-19,24.921875
1999-05-20,25
1999-05-21,24.844139
1999-05-24,24.964844
1999-05-25,25.078125
1999-05-26,25.21875
1999-05-27,25
1999-05-28,24.828514
1999-05-31,25.429688
1999-06-01,25.054688
1999-06-02,25.086329
1999-06-03,24.964844
1999-06-04,25.000389
1999-06-07,24.75
1999-06-08,24.609375
1999-06-09,25.037109
1999-06-10,25.066015
1999-06-11,24.744532
1999-06-14,24.526171
1999-06-15,23.907812
1999-06-16,24.176952
1999-06-17,24.423046
1999-06-18,24.153126
1999-06-21,25.990625
1999-06-22,26.975
1999-06-23,26.774609
1999-06-24,27.065624
1999-06-25,28.600389
1999-06-28,28.905079
1999-06-29,28.715626
1999-06-30,28.445313
1999-07-01,28.633593
1999-07-02,28.559376
1999-07-05,28.88711
1999-07-06,28.99375
1999-07-07,29.345703
1999-07-08,29.086329
1999-07-09,30.0375
1999-07-12,32.4375
